#n_process n_thread p t_seq t_parallel
1 1 1 25.049500 25.049500
1 1 1 25.049500 19.109035
1 2 2 25.049500 9.772188
1 3 3 25.049500 6.520466
1 4 4 25.049500 5.047261
1 5 5 25.049500 4.319539
1 6 6 25.049500 3.420234
2 1 2 25.049500 10.439175
2 2 4 25.049500 5.544420
2 3 6 25.049500 3.695230
2 4 8 25.049500 3.636833
2 5 10 25.049500 3.299035
2 6 12 25.049500 2.898563
3 1 3 25.049500 7.750944
3 2 6 25.049500 4.856779
3 3 9 25.049500 3.433770
3 4 12 25.049500 2.961371
3 5 15 25.049500 2.716102
3 6 18 25.049500 2.572522
4 1 4 25.049500 6.211321
4 2 8 25.049500 3.803298
4 3 12 25.049500 3.038728
4 4 16 25.049500 2.782080
4 5 20 25.049500 2.470599
4 6 24 25.049500 2.355602
5 1 5 25.049500 5.588874
5 2 10 25.049500 3.862648
5 3 15 25.049500 3.241292
5 4 20 25.049500 2.654590
5 5 25 25.049500 2.636963
5 6 30 25.049500 2.526207
6 1 6 25.049500 5.010043
6 2 12 25.049500 3.513257
6 3 18 25.049500 3.041990
6 4 24 25.049500 2.653616
6 5 30 25.049500 2.538320
6 6 36 25.049500 2.351993
10 6 60 25.049500 2.628574
