#n_process n_thread p t_seq t_parallel
1 1 1 25.529133 25.529133
1 1 1 25.529133 19.255537
1 2 2 25.529133 9.922610
1 3 3 25.529133 6.419442
1 4 4 25.529133 4.545379
1 5 5 25.529133 3.416735
1 6 6 25.529133 3.193917
2 1 2 25.529133 9.858980
2 2 4 25.529133 4.908669
2 3 6 25.529133 3.405437
2 4 8 25.529133 2.558803
2 5 10 25.529133 2.147331
2 6 12 25.529133 1.924229
3 1 3 25.529133 6.914883
3 2 6 25.529133 3.547704
3 3 9 25.529133 2.511742
3 4 12 25.529133 1.878847
3 5 15 25.529133 1.583280
3 6 18 25.529133 1.313896
4 1 4 25.529133 5.292365
4 2 8 25.529133 2.911826
4 3 12 25.529133 2.006276
4 4 16 25.529133 1.608216
4 5 20 25.529133 1.470657
4 6 24 25.529133 1.326175
5 1 5 25.529133 4.350381
5 2 10 25.529133 2.340940
5 3 15 25.529133 1.703065
5 4 20 25.529133 1.460547
5 5 25 25.529133 1.268444
5 6 30 25.529133 1.535033
6 1 6 25.529133 3.789422
6 2 12 25.529133 2.077121
6 3 18 25.529133 1.525187
6 4 24 25.529133 1.379998
6 5 30 25.529133 1.212317
6 6 36 25.529133 1.055714
10 6 60 25.529133 1.966989
