#n_thread t_seq t_parallel
24 40.944008 40.944008
24 40.944008 41.005176
25 40.944008 59.253500
26 40.944008 55.853979
27 40.944008 55.182610
28 40.944008 52.483237
29 40.944008 51.865643
30 40.944008 50.796892
31 40.944008 48.072687
32 40.944008 48.669106
33 40.944008 46.064867
34 40.944008 45.235742
35 40.944008 45.058908
36 40.944008 42.649524
37 40.944008 41.766452
38 40.944008 42.062727
39 40.944008 41.923775
40 40.944008 39.000327
41 40.944008 38.393876
42 40.944008 37.753103
43 40.944008 37.074303
44 40.944008 36.189937
45 40.944008 34.772169
46 40.944008 34.605044
47 40.944008 33.673099
48 40.944008 33.263125
